app,installed_app,installed_app_24,installed_app_72,similar_app,hot_app,social_app,contact,contact_default,family,grandparent,land_line_ratio,land_line_count,mobile_phone_count,no_mobile_phone_ratio,offspring,parent,risk_keyword_ratio,risk_keyword_count,siblings,spouse,target
,,,,,,,461.0,0.0,3.0,1.0,0.3687635575,170.0,251.0,0.5444685466,0.0,1.0,0.0151843818,7.0,1.0,0.0,0
,,,,,,,1461.0,0.0,3.0,3.0,0.3244353183,474.0,769.0,0.5263518138,0.0,0.0,0.0164271047,24.0,1.0,0.0,0
340.0,99.0,2.0,3.0,30.0,9.0,True,1093.0,0.0,0.0,0.0,0.3357731016,367.0,689.0,0.6303751144,0.0,0.0,0.0237877402,26.0,0.0,0.0,0
331.0,116.0,7.0,15.0,16.0,6.0,True,3108.0,0.0,2.0,1.0,0.3021235521,939.0,2144.0,0.6898326898,0.0,0.0,0.0115830116,36.0,1.0,0.0,0
274.0,44.0,2.0,2.0,7.0,5.0,True,248.0,0.0,0.0,0.0,0.6653225806,165.0,80.0,0.3225806452,0.0,0.0,0.0443548387,11.0,0.0,0.0,1
305.0,90.0,5.0,5.0,11.0,6.0,True,366.0,0.0,4.0,0.0,0.3032786885,111.0,251.0,0.6857923497,0.0,1.0,0.0163934426,6.0,3.0,0.0,0
258.0,32.0,6.0,6.0,10.0,7.0,True,299.0,0.0,0.0,0.0,0.4581939799,137.0,158.0,0.5284280936,0.0,0.0,0.0066889632,2.0,0.0,0.0,0
326.0,29.0,8.0,11.0,8.0,4.0,True,383.0,0.0,1.0,0.0,0.318537859,122.0,240.0,0.6266318538,0.0,0.0,0.0130548303,5.0,0.0,1.0,0
250.0,36.0,4.0,4.0,7.0,4.0,True,1291.0,0.0,0.0,0.0,0.4453911696,575.0,687.0,0.5321456235,0.0,0.0,0.0131680868,17.0,0.0,0.0,0
420.0,104.0,4.0,5.0,11.0,7.0,True,236.0,0.0,5.0,0.0,0.3686440678,87.0,139.0,0.5889830508,0.0,3.0,0.0084745763,2.0,1.0,1.0,0
378.0,64.0,2.0,3.0,5.0,5.0,True,654.0,0.0,4.0,0.0,0.3134556575,205.0,436.0,0.6666666667,0.0,4.0,0.0076452599,5.0,0.0,0.0,0
362.0,48.0,2.0,3.0,3.0,6.0,True,29.0,0.0,0.0,0.0,0.275862069,8.0,4.0,0.1379310345,0.0,0.0,0.0,0.0,0.0,0.0,0
381.0,65.0,5.0,6.0,18.0,7.0,True,2309.0,0.0,1.0,0.0,0.5019488956,1159.0,1115.0,0.4828930273,0.0,0.0,0.0030316154,7.0,1.0,0.0,0
294.0,61.0,1.0,4.0,8.0,7.0,True,177.0,0.0,3.0,1.0,0.3220338983,57.0,106.0,0.5988700565,0.0,1.0,0.011299435,2.0,2.0,0.0,1
,,,,,,,180.0,0.0,4.0,0.0,0.4111111111,74.0,100.0,0.5555555556,0.0,2.0,0.0277777778,5.0,2.0,0.0,0
320.0,54.0,4.0,6.0,12.0,9.0,True,307.0,0.0,5.0,2.0,0.3973941368,122.0,180.0,0.5863192182,0.0,3.0,0.009771987,3.0,2.0,0.0,0
280.0,43.0,12.0,13.0,9.0,6.0,True,380.0,0.0,0.0,0.0,0.3078947368,117.0,254.0,0.6684210526,0.0,0.0,0.0026315789,1.0,0.0,0.0,1
359.0,44.0,4.0,6.0,11.0,8.0,True,259.0,0.0,1.0,0.0,0.4555984556,118.0,126.0,0.4864864865,0.0,1.0,0.0193050193,5.0,0.0,0.0,0
326.0,66.0,5.0,7.0,20.0,7.0,True,238.0,0.0,2.0,0.0,0.3529411765,84.0,148.0,0.6218487395,0.0,1.0,0.012605042,3.0,1.0,0.0,0
357.0,142.0,2.0,3.0,60.0,6.0,True,864.0,0.0,2.0,0.0,0.4571759259,395.0,437.0,0.505787037,0.0,1.0,0.0081018519,7.0,1.0,0.0,1
315.0,33.0,3.0,7.0,6.0,7.0,True,776.0,0.0,3.0,2.0,0.3530927835,274.0,467.0,0.6018041237,0.0,1.0,0.0090206186,7.0,2.0,0.0,0
